"CÓDIGO";"DESCRIPCION";"LATITUD";"LONGITUD";"DIRECCIÓN";"C.P.";"POBLACION";"PROVINCIA";"PAIS"
40005;"VILLAFRANCA DE LOS BARROS";"38.5644983";"-6.3520619";"AVENIDA ESTACION FERROCARRIL. S/N";6220;"Villafranca de los Barros";"Badajoz";"España"
40006;"LOS SANTOS DE MAIMONA";"38.4496301";"-6.3616186";"CALLE DISEMINADO LA CARRASCA. 5";6230;"Santos de Maimona. Los";"Badajoz";"España"
40008;"ZAFRA FERIA";"38.4243825";"-6.4099897";"BARRIADA ANTONO ZODO. S/N";6300;"Zafra";"Badajoz";"España"
40100;"ZAFRA";"38.4138471";"-6.405396";"AVENIDA ESTACION FERROCARRIL. S/N";6300;"Zafra";"Badajoz";"España"
40105;"LLERENA";"38.2376771";"-6.0098805";"AVENIDA ESTACION FERROCARRIL. 6";6900;"Llerena";"Badajoz";"España"
40107;"FUENTE DEL ARCO";"38.1635601";"-5.9005181";"CARRETERA BAV-1618 - ESTACION FERROCARRIL. S/N";6980;"Fuente del Arco";"Badajoz";"España"
40108;"GUADALCANAL";"38.0903071";"-5.8034699";"CARRETERA SE-165 - ESTACION FERROCARRIL. S/N";41390;"Guadalcanal";"Sevilla";"España"
42005;"FREGENAL DE LA SIERRA";"38.1677017";"-6.6378417";"CARRETERA EX-201 - ESTACION FERROCARRIL. S/N";6340;"Fregenal de la Sierra";"Badajoz";"España"
42006;"CUMBRES MAYORES";"38.0532442";"-6.6310657";"CARRETERA A-5300 - ESTACION FERROCARRIL. S/N";21380;"Cumbres Mayores";"Huelva";"España"
42008;"JABUGO-GALAROZA";"37.9279893";"-6.7730438";"CALLE ROMAN TALERO. 34";21360;"Jabugo";"Huelva";"España"
42009;"ALMONASTER-CORTEGANA";"37.9012229";"-6.7973125";"CALLE ALDEA ESTACION ALMTER. S/N";21342;"Almonaster la Real";"Huelva";"España"
42012;"VALDELAMUSA";"37.787145";"-6.8737178";"CARRETERA HU-6102 - ESTACION FERROCARRIL. S/N";21330;"Cortegana";"Huelva";"España"
42013;"EL TAMUJOSO";"37.7203298";"-6.9005379";"CARRETERA HU-5101 - ESTACION FERROCARRIL. S/N";21320;"Cerro de Andévalo. El";"Huelva";"España"
42015;"CALAÑAS";"37.651964";"-6.876462";"PASEO RAMON REGAJO. S/N";21300;"Calañas";"Huelva";"España"
42016;"LOS MILANOS";"37.586225";"-6.919955";"CARRETERA H-9020 - ESTACION FERROCARRIL. S/N";21300;"Calañas";"Huelva";"España"
42018;"EL COBUJON";"37.51651";"-6.953432";"CARRETERA HV-1427 - ESTACION FERROCARRIL. S/N";21300;"Calañas";"Huelva";"España"
42019;"BELMONTE";"37.461858";"-6.947529";"CARRETERA N-431 - ESTACION FERROCARRIL. S/N";21500;"San Bartolomé de la Torre";"Huelva";"España"
42020;"GIBRALEON";"37.367897";"-6.962285";"CALLE GUADIANA. 6";21500;"Gibraleón";"Huelva";"España"
43008;"CARRION DE LOS CESPEDES";"37.36902";"-6.335012";"CARRETERA SE-637 - ESTACION FERROCARRIL. S/N";41820;"Carrión de los Céspedes";"Sevilla";"España"
43009;"ESCACENA";"37.397858";"-6.391999";"CARRETERA HU-6111 - CAMINO DEL POZO. S/N";21870;"Escacena del Campo";"Huelva";"España"
43011;"LA PALMA DEL CONDADO";"37.3906538";"-6.5544227";"AVENIDA DE LA CONSTITUCION. 9";21700;"Palma del Condado. La";"Huelva";"España"
43012;"VILLARRASA";"37.3870134";"-6.598824";"CARRETERA A-472 - ESTACION FERROCARRIL. S/N";21850;"Villarrasa";"Huelva";"España"
43015;"NIEBLA-PUERTA DEL BUEY";"37.3584965";"-6.681256";"AVENIDA PUERTA DEL BUEY. S/N";21840;"Niebla";"Huelva";"España"
43019;"HUELVA-TERMINO";"37.252635";"-6.944905";"AVENIDA DE CADIZ. S/N";21003;"Huelva";"Huelva";"España"
43021;"SAN JUAN DEL PUERTO";"37.311893";"-6.84109";"CALLE RIOS ESQUINA PLAZA DE LA MARINA. S/N";21610;"San Juan del Puerto";"Huelva";"España"
50002;"CINCO CASAS";"39.1693086";"-3.2373701";"PLAZA ESTACION FERROCARRIL. S/N";13720;"Alcázar de San Juan";"Ciudad Real";"España"
50100;"MANZANARES";"39.0058224";"-3.3705386";"PASEO ESTACION FERROCARRIL. S/N";13200;"Manzanares";"Ciudad Real";"España"
50102;"VALDEPEÑAS";"38.763297";"-3.395942";"PASEO ESTACION FERROCARRIL. S/N";13300;"Valdepeñas";"Ciudad Real";"España"
50200;"SANTA CRUZ DE MUDELA";"38.644651";"-3.4514992";"PASEO CASTELAR. 161";13730;"Santa Cruz de Mudela";"Ciudad Real";"España"
71503;"TORREDEMBARRA";"41.1427985";"1.4057036";"PASSEIG DE MIRAMAR. 118";43830;"Torredembarra";"Tarragona";"España"
50202;"ALMURADIEL-VISO DEL MARQUES";"38.5143048";"-3.5017844";"CALLE SAN ANTONIO. S/N";13760;"Almuradiel";"Ciudad Real";"España"
50207;"VILCHES";"38.2156965";"-3.517513";"CALLE ESTACION FERROCARRIL. S/N";23220;"Vilches";"Jaén";"España"
50300;"LINARES-BAEZA";"38.069169";"-3.5892724";"PLAZA DE LAS PALMERAS. S/N";23490;"Linares";"Jaén";"España"
50400;"ESPELUY";"38.0101413";"-3.832274";"PLAZA ESTACION FERROCARRIL. 3";23628;"Espelúy";"Jaén";"España"
50403;"ANDUJAR";"38.02824";"-4.06604";"CARRETERA ESTACION FERROCARRIL S/N";23740;"Andújar";"Jaén";"España"
50407;"VILLA DEL RIO";"37.9814294";"-4.2838235";"CALLE PROLONGACION ESTACION FERROCARRIL. S/N";14640;"Villa del Río";"Córdoba";"España"
50417;"CAMPUS UNIVERSITARIO DE RABANALES";"37.9128153";"-4.720937";"CALLE ESTACION FERROCARRIL. S/N";14014;"Córdoba";"Córdoba";"España"
50500;"CORDOBA";"37.8884864";"-4.7895764";"GLORIETA DE LAS TRES CULTURAS. S/N";14011;"Córdoba";"Córdoba";"España"
50504;"POSADAS";"37.803977";"-5.106321";"PLAZA ESTACION FERROCARRIL. S/N";14730;"Posadas";"Córdoba";"España"
50506;"PALMA DEL RIO";"37.7181028";"-5.29276";"CALLE ESTACION FERROCARRIL. S/N";14700;"Palma del Río";"Córdoba";"España"
50507;"PEÑAFLOR";"37.7074846";"-5.3416079";"CALLE ESTACION DE FERROCARRIL. S/N";41470;"Peñaflor";"Sevilla";"España"
54400;"BOBADILLA";"37.0375444";"-4.7277249";"PLAZA DE LA ESTACION. S/N";29540;"Antequera";"Málaga";"España"
54403;"EL CHORRO-CAMINITO DEL REY";"36.9073169";"-4.7592403";"CARRETERA MA-5403 - ESTACION DE FERROCARRIL. S/N";29552;"Álora";"Málaga";"España"
54404;"LAS MELLIZAS";"36.8732968";"-4.7194626";"BARRIADA ESTACION DE LAS MELLIZAS. S/N";29593;"Álora";"Málaga";"España"
54413;"MALAGA MARIA ZAMBRANO";"36.7113412";"-4.4328779";"CALLE EXPLANADA DE LA ESTACION. S/N";29002;"Málaga";"Málaga";"España"
55001;"CAMPILLOS";"37.0321901";"-4.8635104";"CARRETERA ESTACION FERROCARRIL. S/N";29320;"Campillos";"Málaga";"España"
55003;"ALMARGEN-CAÑETE LA REAL";"37.0010286";"-5.0201169";"CALLE CORTINA ESTACION. 1B";29330;"Almargen";"Málaga";"España"
55005;"SETENIL";"36.8624427";"-5.1211137";"CARRETERA CA-414 - ESTACION DE FERROCARRIL. S/N";11692;"Setenil de las Bodegas";"Cádiz";"España"
55007;"RONDA";"36.748424";"-5.1619184";"AVENIDA DE ANDALUCIA. 31";29400;"Ronda";"Málaga";"España"
55008;"ARRIATE";"36.7910791";"-5.1401779";"CARRETERA MA-7400 - ESTACION FERROCARRIL. S/N";29350;"Arriate";"Málaga";"España"
55010;"BENAOJAN-MONTEJAQUE";"36.7137902";"-5.246408";"CARRETERA ESTACION BENAOJAN. S/N";29370;"Benaoján";"Málaga";"España"
55011;"JIMERA DE LIBAR";"36.6607132";"-5.2814788";"AVENIDA LA BARCA - CALLE FUENTE GRANDE. S/N";29392;"Jimera de Líbar";"Málaga";"España"
55012;"CORTES DE LA FRONTERA";"36.5973589";"-5.3327945";"AVENIDA LLANO DE LA ESTACION. S/N";29391;"Cortes de la Frontera";"Málaga";"España"
55013;"GAUCIN";"36.5403999";"-5.3863848";"CARRETERA MA-512 - ESTACION FERROCARRIL. S/N";29490;"Gaucín";"Málaga";"España"
55014;"SAN PABLO";"36.4679463";"-5.4190055";"CARRETERA A-405 - ESTACION FERRACARRIL. S/N";11320;"Jimena de la Frontera";"Cádiz";"España"
55015;"JIMENA DE LA FRONTERA";"36.4242754";"-5.4342443";"CALLE JUAN DE DIOS. 15";11339;"Jimena de la Frontera";"Cádiz";"España"
